id,uuid,location,resolution,producer,operating_system,ip
1,ODuwn5XQV,Berlin,"Full HD",LG,Linux,143.117.112.59
2,7pZfBN6O,Paris,"Full HD",Samsung,Linux,35.182.15.53
3,mOfiY,Warsaw,"Full HD",LG,Linux,192.218.242.158
4,0XosKpF,Berlin,4K,Philips,Android,110.132.35.51
5,iIcUkwad,Berlin,4K,LG,Ubuntu,161.234.182.112
6,VmB8daET,Paris,4K,Philips,Ubuntu,77.98.169.125
7,JnSYiI,Paris,4K,Samsung,Android,216.32.81.162
8,nvcoSl7OYK,Warsaw,4K,Sencor,Android,55.108.243.241
9,cT8U6O,Berlin,4K,Samsung,Ubuntu,41.30.158.192
10,zxjVEpR7,Warsaw,"Full HD",LG,Android,66.237.158.188
11,E61cVz0jD,Warsaw,"Full HD",Philips,Android,208.216.233.208
12,3estFp,Paris,"Full HD",Sencor,Linux,164.67.14.229
13,25w6Ckl,Amsterdam,4K,Sencor,Linux,38.163.148.234
14,lBXxSq9PMv,Paris,4K,Samsung,Ubuntu,201.207.213.217
15,vNLUHux,Berlin,"Full HD",LG,Android,223.109.54.138
16,uOhwXbId,Amsterdam,"Full HD",LG,Ubuntu,205.218.5.221
17,ojy4gh2Dcv,Warsaw,"Full HD",Sencor,Linux,140.85.146.208
18,GYDdgLc,Berlin,4K,Samsung,Ubuntu,35.17.138.1
19,3bkw5aNK,Paris,4K,Philips,Ubuntu,72.158.104.119
20,qy0uQU,Paris,"Full HD",Samsung,Android,55.11.92.206
21,f5mkgTbN,Berlin,4K,LG,Ubuntu,163.233.182.244
22,Wh57wl,Berlin,4K,Sencor,Android,202.38.175.238
23,Rd9LQr,Warsaw,4K,Philips,Ubuntu,164.97.203.237
24,wy4Z52,Berlin,"Full HD",Sencor,Ubuntu,201.9.174.96
25,xeIMzNpWZ,Berlin,4K,Sencor,Linux,171.154.140.48
26,NDRagqUx,Amsterdam,"Full HD",Philips,Android,177.31.104.170
27,kRXtauO,Amsterdam,"Full HD",Philips,Linux,157.229.150.211
28,UR2LT,Amsterdam,"Full HD",Philips,Linux,39.16.146.217
29,aPyhspQe,Amsterdam,"Full HD",Philips,Linux,246.198.147.173
30,nd7g1pP,Paris,"Full HD",Philips,Linux,17.150.242.214
31,aBn3pGVM,Warsaw,"Full HD",LG,Android,96.24.240.240
32,ptM085iY,Warsaw,"Full HD",Sencor,Ubuntu,119.123.32.192
33,acl91wV6vY,Warsaw,4K,Samsung,Linux,93.69.152.196
34,shr2nTI1d,Paris,4K,Sencor,Android,198.228.41.127
35,8qZM1lXPY,Paris,4K,Samsung,Ubuntu,177.181.42.138
36,lwvi8Lnt,Amsterdam,4K,Samsung,Ubuntu,6.181.200.81
37,6TgxtnYumW,Paris,4K,Samsung,Ubuntu,232.141.212.203
38,qcpU5C,Paris,4K,Samsung,Linux,183.146.64.222
39,QtgiW,Paris,4K,Sencor,Linux,193.127.39.44
40,0dYzkwitq,Warsaw,4K,Philips,Ubuntu,43.15.103.33
41,Vbw41kH,Amsterdam,4K,Sencor,Linux,134.73.55.154
42,2DCbZwln1,Warsaw,4K,LG,Linux,146.100.116.183
43,paJTYRzkn,Paris,"Full HD",Samsung,Ubuntu,178.76.137.209
44,BmwhK61cC,Warsaw,4K,LG,Linux,90.205.98.212
45,pgVUjOe,Berlin,4K,Samsung,Linux,120.61.157.81
46,gNsqi4,Warsaw,4K,Philips,Android,159.49.19.130
47,TGZtaY,Warsaw,4K,LG,Linux,14.178.71.177
